Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,2898.000000,2979.000000,2858.800049,2949.649902,2944.935547,77962
2017-01-03,2950.000000,3045.000000,2940.100098,3016.649902,3011.828613,89363
2017-01-04,3020.050049,3037.000000,2947.600098,2960.850098,2956.117920,85592
2017-01-05,2984.100098,3024.000000,2970.000000,3018.449951,3013.625732,76912
2017-01-06,3018.000000,3021.000000,2968.000000,2978.550049,2973.789307,57125
2017-01-09,2981.000000,3024.949951,2970.000000,2992.649902,2987.866943,77239
2017-01-10,2996.000000,3020.000000,2990.000000,3010.149902,3005.339111,34970
2017-01-11,3015.000000,3027.149902,2932.449951,3018.500000,3013.675537,90149
2017-01-12,3019.000000,3020.199951,2990.100098,3018.600098,3013.775635,52413
2017-01-13,3021.750000,3021.750000,2997.000000,3019.600098,3014.774170,40033
2017-01-16,3018.000000,3028.199951,2993.500000,3012.600098,3007.785400,22013
2017-01-17,3029.000000,3029.899902,3008.000000,3019.699951,3014.873535,53717
2017-01-18,3011.000000,3059.949951,3011.000000,3046.649902,3041.780518,90597
2017-01-19,3033.000000,3175.000000,3011.600098,3154.750000,3149.708008,279957
2017-01-20,3140.000000,3167.949951,3027.600098,3064.000000,3059.103027,91901
2017-01-23,3056.649902,3082.050049,3024.399902,3063.449951,3058.553711,64569
2017-01-24,3089.899902,3158.000000,3080.000000,3128.800049,3123.799561,63922
2017-01-25,3154.800049,3175.000000,3132.750000,3169.699951,3164.633789,124818
2017-01-27,3160.000000,3195.000000,3160.000000,3169.399902,3164.334473,74741
2017-01-30,3169.399902,3246.550049,3134.449951,3205.449951,3200.326660,175971
2017-01-31,3262.000000,3338.000000,3212.550049,3245.850098,3240.662354,184606
2017-02-01,3270.000000,3347.000000,3166.000000,3328.399902,3323.080322,124882
2017-02-02,3335.000000,3510.000000,3280.000000,3462.100098,3456.566895,170594
2017-02-03,3490.000000,3500.000000,3400.000000,3419.949951,3414.484131,68814
2017-02-06,3452.000000,3748.000000,3429.100098,3721.949951,3716.000977,386613
2017-02-07,3738.000000,3777.800049,3655.000000,3691.250000,3685.350342,154712
2017-02-08,3700.000000,3743.000000,3605.000000,3663.000000,3657.145508,116934
2017-02-09,3665.000000,3704.750000,3551.000000,3577.000000,3571.282959,123312
2017-02-10,3590.000000,3661.000000,3565.000000,3630.949951,3625.146484,170482
2017-02-13,3655.199951,3685.000000,3592.649902,3637.250000,3631.437012,105482
2017-02-14,3639.899902,3654.699951,3572.600098,3592.899902,3587.157715,71644
2017-02-15,3599.000000,3690.000000,3595.000000,3628.350098,3622.550781,130707
2017-02-16,3628.350098,3679.000000,3628.350098,3671.199951,3665.332520,50784
2017-02-17,3675.000000,3698.949951,3651.649902,3685.500000,3679.609619,45122
2017-02-20,3670.000000,3715.350098,3622.850098,3641.750000,3635.929932,42617
2017-02-21,3649.750000,3649.750000,3581.149902,3624.100098,3618.307861,60573
2017-02-22,3638.000000,3775.000000,3630.399902,3750.199951,3744.206299,119505
2017-02-23,3779.000000,3907.949951,3742.399902,3847.199951,3841.051270,200336
2017-02-27,3847.199951,3876.000000,3752.000000,3836.600098,3830.468018,107482
2017-02-28,3849.949951,3980.000000,3795.050049,3914.149902,3907.894043,166741
2017-03-01,3969.000000,4020.000000,3895.949951,3923.850098,3917.578857,121113
2017-03-02,3940.000000,3959.949951,3846.750000,3875.500000,3869.305908,88498
2017-03-03,3846.699951,3867.550049,3740.000000,3761.750000,3755.737549,100341
2017-03-06,3784.000000,3849.000000,3775.000000,3817.699951,3811.598633,81752
2017-03-07,3839.000000,3858.000000,3781.000000,3805.100098,3799.018799,72461
2017-03-08,3805.100098,3862.000000,3762.050049,3832.050049,3825.925537,72292
2017-03-09,3811.000000,3847.000000,3776.000000,3804.850098,3798.769043,83678
2017-03-10,3802.500000,3844.000000,3792.350098,3826.050049,3819.934814,60087
2017-03-14,3900.000000,3950.000000,3840.699951,3931.250000,3924.967041,144365
2017-03-15,3940.000000,3978.000000,3910.050049,3938.649902,3932.354980,93641
2017-03-16,3950.100098,4081.300049,3950.000000,4040.050049,4033.593262,110599
2017-03-17,4050.000000,4060.000000,3950.000000,3969.100098,3962.756348,114395
2017-03-20,3970.000000,3998.000000,3942.399902,3965.800049,3959.461914,46436
2017-03-21,3990.000000,4089.000000,3960.000000,4057.449951,4050.965088,109627
2017-03-22,4025.000000,4217.000000,3966.000000,4107.850098,4101.284668,140996
2017-03-23,4200.000000,4200.100098,4110.950195,4148.500000,4141.869629,79510
2017-03-24,4120.000000,4194.950195,4106.500000,4129.350098,4122.750488,51885
2017-03-27,4145.000000,4190.000000,4010.000000,4044.800049,4038.335205,65888
2017-03-28,4065.000000,4124.500000,4060.699951,4090.750000,4084.211914,74378
2017-03-29,4109.000000,4120.000000,4030.000000,4062.649902,4056.156982,107992
2017-03-30,4078.000000,4112.350098,4040.000000,4060.600098,4054.110107,79777
2017-03-31,4050.000000,4120.000000,4050.000000,4098.399902,4091.849609,65665
2017-04-03,4098.399902,4133.950195,4065.000000,4098.250000,4091.699951,45544
2017-04-05,4091.000000,4167.450195,4086.000000,4128.799805,4122.201172,92521
2017-04-06,4128.799805,4195.149902,4106.250000,4178.350098,4171.672363,55202
2017-04-07,4155.000000,4290.049805,4140.450195,4226.200195,4219.445801,147025
2017-04-10,4241.000000,4390.000000,4233.350098,4373.000000,4366.010742,161729
2017-04-11,4385.000000,4455.000000,4346.500000,4374.850098,4367.857910,78505
2017-04-12,4389.700195,4528.000000,4380.000000,4502.950195,4495.752930,145418
2017-04-13,4500.049805,4659.700195,4471.000000,4611.899902,4604.528809,133243
2017-04-17,4647.899902,4699.000000,4472.000000,4493.450195,4486.268555,137018
2017-04-18,4525.000000,4565.000000,4350.100098,4369.399902,4362.416504,129393
2017-04-19,4374.299805,4425.000000,4325.000000,4340.049805,4333.113281,86116
2017-04-20,4450.000000,4450.049805,4340.100098,4355.399902,4348.438965,104209
2017-04-21,4394.000000,4398.000000,4287.299805,4304.049805,4297.170898,73137
2017-04-24,4310.000000,4388.000000,4270.000000,4371.750000,4364.763184,87376
2017-04-25,4390.000000,4559.950195,4375.100098,4524.350098,4517.119141,152942
2017-04-26,4555.000000,4575.000000,4430.000000,4534.200195,4526.952637,90897
2017-04-27,4534.000000,4556.799805,4480.000000,4524.750000,4517.518555,72445
2017-04-28,4545.000000,4750.000000,4530.000000,4575.649902,4568.337402,210948
2017-05-02,4580.750000,4671.750000,4520.000000,4566.149902,4558.852051,121557
2017-05-03,4589.000000,4650.000000,4550.000000,4562.899902,4555.606934,85470
2017-05-04,4599.000000,4619.799805,4560.000000,4569.600098,4562.296875,79220
2017-05-05,4564.000000,4589.000000,4355.600098,4428.399902,4421.322266,120140
2017-05-08,4448.700195,4477.950195,4391.600098,4420.950195,4413.884277,53386
2017-05-09,4421.000000,4455.000000,4370.000000,4378.450195,4371.452148,49435
2017-05-10,4400.000000,4431.799805,4356.000000,4391.450195,4384.431641,104346
2017-05-11,4400.000000,4528.950195,4381.250000,4495.799805,4488.614258,135384
2017-05-12,4510.000000,4525.000000,4365.000000,4395.549805,4388.524902,87415
2017-05-15,4427.000000,4589.950195,4381.200195,4550.950195,4543.676270,188113
