Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,181.000000,184.000000,180.300003,183.050003,173.777740,923408
2017-01-03,184.449997,184.800003,182.149994,183.000000,173.730270,912420
2017-01-04,183.000000,184.949997,180.800003,182.100006,172.875885,800746
2017-01-05,182.649994,184.800003,182.550003,184.250000,174.916962,821733
2017-01-06,184.449997,188.000000,184.350006,186.500000,177.052994,2237334
2017-01-09,186.949997,187.399994,183.250000,185.600006,176.198593,812790
2017-01-10,186.050003,187.000000,182.050003,183.050003,173.777740,1271896
2017-01-11,183.399994,186.949997,183.399994,186.449997,177.005524,880840
2017-01-12,186.449997,187.649994,184.100006,184.399994,175.059372,1221258
2017-01-13,184.649994,185.600006,181.500000,182.050003,172.828400,1384769
2017-01-16,181.000000,185.600006,178.750000,184.949997,175.581497,1681185
2017-01-17,184.300003,185.350006,182.100006,182.750000,173.492950,926190
2017-01-18,183.199997,190.000000,182.500000,189.250000,179.663666,2691018
2017-01-19,190.050003,194.699997,189.949997,194.199997,184.362946,4260028
2017-01-20,193.649994,195.949997,192.949997,194.500000,184.647766,5845826
2017-01-23,193.250000,195.000000,191.100006,194.149994,184.315506,1042599
2017-01-24,193.199997,197.949997,192.250000,196.850006,186.878738,1403483
2017-01-25,196.850006,197.699997,192.800003,195.000000,185.122406,2454239
2017-01-27,196.000000,204.399994,195.500000,197.250000,187.258484,4653169
2017-01-30,197.550003,204.399994,195.500000,202.600006,192.337463,2653453
2017-01-31,199.500000,202.250000,196.250000,197.300003,187.305908,1057276
2017-02-01,196.000000,203.500000,196.000000,202.850006,192.574799,1394277
2017-02-02,201.100006,214.899994,200.550003,209.699997,199.077805,5083650
2017-02-03,209.000000,212.500000,204.600006,209.050003,198.460739,2623335
2017-02-06,211.000000,211.899994,206.449997,208.100006,197.558868,1762798
2017-02-07,208.600006,210.149994,205.199997,207.750000,197.226608,989833
2017-02-08,208.000000,214.800003,206.649994,209.300003,198.698074,2890321
2017-02-09,209.149994,211.649994,205.250000,207.600006,197.084198,1673556
2017-02-10,208.100006,210.399994,206.350006,207.899994,197.369003,1110444
2017-02-13,208.699997,216.750000,208.300003,215.500000,204.584000,3934877
2017-02-14,218.000000,218.100006,212.699997,213.699997,202.875183,3235191
2017-02-15,213.100006,216.000000,207.500000,208.600006,198.033539,1418166
2017-02-16,208.250000,211.100006,206.850006,210.449997,199.789825,1861810
2017-02-17,211.100006,212.149994,208.800003,210.100006,199.457535,1367714
2017-02-20,210.000000,216.500000,208.050003,215.300003,204.394135,2753142
2017-02-21,216.100006,217.000000,213.399994,215.149994,204.251740,1391215
