Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,137.542007,139.292007,137.000000,137.332993,115.268723,3152186
2017-01-03,137.417007,138.542007,136.875000,137.875000,115.723663,2448501
2017-01-04,137.542007,139.582993,136.957993,137.375000,115.303993,3729337
2017-01-05,136.707993,138.582993,136.707993,137.500000,115.408913,6652960
2017-01-06,137.542007,138.582993,136.332993,136.667007,114.709763,4947444
2017-01-09,136.667007,136.917007,134.250000,135.875000,114.044991,4569656
2017-01-10,136.125000,136.500000,134.750000,135.250000,113.520393,2423820
2017-01-11,135.832993,137.332993,134.875000,137.082993,115.058899,2763603
2017-01-12,137.500000,145.292007,137.082993,144.750000,121.494125,12138549
2017-01-13,145.750000,145.832993,142.207993,142.500000,119.605591,6432948
2017-01-16,141.125000,144.292007,140.832993,142.207993,119.360504,5560533
2017-01-17,142.750000,146.832993,141.875000,146.417007,122.893288,7873125
2017-01-18,146.667007,146.875000,143.332993,143.957993,120.829346,6211531
2017-01-19,144.167007,145.832993,143.125000,145.125000,121.808853,7877224
2017-01-20,144.750000,145.082993,141.500000,142.042007,119.221191,4372642
2017-01-23,141.667007,143.707993,141.000000,141.332993,118.626076,4522695
2017-01-24,141.417007,145.167007,141.417007,143.625000,120.549858,7209640
2017-01-25,143.792007,144.582993,142.042007,142.792007,119.850670,13115185
2017-01-27,142.917007,148.542007,142.832993,147.917007,124.152298,6091371
2017-01-30,147.375000,148.250000,145.417007,146.417007,122.893288,5516523
2017-01-31,146.667007,148.082993,143.125000,143.625000,120.549858,7441196
2017-02-01,143.875000,144.417007,141.082993,142.417007,119.535965,10397133
2017-02-02,143.917007,146.667007,143.125000,143.792007,120.690010,7142464
2017-02-03,143.750000,144.707993,142.875000,143.292007,120.270355,4129434
2017-02-06,143.750000,145.750000,143.417007,144.667007,121.424446,6082885
2017-02-07,144.000000,146.250000,143.625000,144.167007,121.004784,6618921
2017-02-08,145.332993,146.042007,141.875000,143.250000,120.235107,10220055
2017-02-09,143.250000,144.957993,139.500000,140.167007,117.647430,7504140
2017-02-10,141.042007,143.042007,140.542007,141.957993,119.150673,4783242
2017-02-13,142.457993,144.250000,142.457993,143.750000,120.654785,7380872
2017-02-14,144.082993,144.082993,141.582993,142.375000,119.500671,5174097
2017-02-15,140.625000,142.167007,140.250000,140.875000,120.449768,4591172
2017-02-16,141.250000,142.375000,140.917007,141.917007,121.340683,4049570
2017-02-17,142.250000,142.457993,140.707993,141.457993,120.948212,3268471
2017-02-20,141.667007,143.832993,141.250000,143.167007,122.409439,7358422
2017-02-21,143.292007,144.207993,142.125000,143.750000,122.907898,2167004
2017-02-22,144.875000,145.000000,138.292007,138.917007,118.775642,8138626
2017-02-23,139.500000,139.500000,136.707993,137.917007,117.920616,8046589
2017-02-27,138.457993,138.707993,136.332993,137.832993,117.848793,8850588
2017-02-28,138.332993,138.457993,135.207993,135.792007,116.103714,16850186
2017-03-01,136.207993,136.917007,132.500000,133.292007,113.966194,11781903
2017-03-02,134.082993,134.082993,129.375000,129.957993,111.115585,16388160
2017-03-03,129.957993,131.000000,128.917007,130.082993,111.222458,9776836
2017-03-06,130.750000,132.500000,130.082993,132.000000,112.861519,5028422
