Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,856.650024,890.000000,855.000000,884.400024,848.502563,796843
2017-01-03,890.000000,907.900024,880.299988,892.950012,856.705444,642305
2017-01-04,886.000000,915.250000,886.000000,911.799988,874.790283,677908
2017-01-05,919.700012,924.000000,909.000000,914.849976,877.716553,1309221
2017-01-06,925.000000,943.900024,917.150024,927.849976,890.188904,942159
2017-01-09,932.000000,943.500000,912.200012,929.500000,891.771912,372184
2017-01-10,935.900024,942.000000,926.000000,939.450012,901.318054,301001
2017-01-11,940.000000,986.950012,932.549988,965.799988,926.598511,1143673
2017-01-12,972.000000,976.700012,933.000000,942.599976,904.340210,1067085
2017-01-13,948.900024,958.950012,940.500000,955.299988,916.524658,283267
2017-01-16,962.000000,968.549988,944.500000,960.799988,921.801453,414933
2017-01-17,962.000000,976.450012,949.000000,955.200012,916.428711,343708
2017-01-18,950.000000,966.799988,942.750000,947.450012,908.993347,404171
2017-01-19,949.000000,949.250000,938.099976,942.950012,904.676025,461682
2017-01-20,942.500000,942.500000,907.700012,912.250000,875.222046,631311
2017-01-23,912.500000,930.400024,905.000000,920.299988,882.945251,536156
2017-01-24,926.500000,946.700012,921.049988,943.349976,905.059631,547693
2017-01-25,945.049988,954.799988,935.750000,951.349976,912.735046,766868
2017-01-27,954.700012,980.000000,947.099976,961.450012,922.425049,823461
2017-01-30,962.500000,983.000000,936.799988,978.049988,938.351257,537229
2017-01-31,987.799988,996.650024,933.599976,954.750000,915.997009,995746
2017-02-01,948.700012,985.000000,935.000000,979.750000,939.982300,924464
2017-02-02,980.000000,984.700012,964.650024,970.700012,931.299561,428449
2017-02-03,974.799988,980.849976,960.200012,963.950012,924.823608,445751
2017-02-06,970.000000,979.900024,955.000000,964.299988,925.159363,342383
2017-02-07,967.000000,970.000000,938.400024,949.450012,910.912109,317155
2017-02-08,954.000000,962.950012,938.900024,954.650024,915.901062,445942
2017-02-09,952.849976,961.450012,940.000000,952.500000,913.838318,1384969
2017-02-10,953.000000,978.849976,953.000000,964.650024,925.495300,1114941
2017-02-13,967.349976,971.900024,955.000000,966.299988,927.078125,283014
2017-02-14,968.400024,968.400024,947.000000,951.099976,912.495117,574314
2017-02-15,935.099976,963.000000,925.000000,933.549988,895.657471,653520
2017-02-16,937.000000,951.900024,927.299988,942.150024,903.908447,397844
2017-02-17,949.000000,958.950012,929.099976,939.650024,901.510010,446328
2017-02-20,942.250000,945.799988,934.000000,941.750000,903.524658,295933
2017-02-21,942.000000,951.799988,935.150024,948.500000,910.000732,376934
2017-02-22,952.000000,952.799988,936.500000,944.450012,906.115051,588170
2017-02-23,945.000000,954.250000,928.099976,933.599976,895.705444,2368504
2017-02-27,933.500000,941.799988,930.250000,933.549988,895.657471,378742
2017-02-28,935.000000,937.950012,925.599976,929.200012,891.484131,538592
2017-03-01,931.000000,935.450012,911.450012,925.650024,888.078125,691605
2017-03-02,926.900024,934.150024,895.049988,899.200012,862.701721,492200
2017-03-03,890.400024,928.500000,888.200012,919.599976,882.273743,1006963
2017-03-06,916.099976,938.000000,916.099976,933.700012,895.801453,482125
2017-03-07,937.000000,957.000000,934.049988,952.200012,913.550537,882154
2017-03-08,955.000000,966.450012,943.500000,960.299988,921.321716,759820
2017-03-09,958.650024,968.549988,955.349976,960.950012,921.945374,1314892
2017-03-10,958.500000,965.650024,954.849976,959.349976,920.410156,408745
2017-03-14,979.500000,1023.799988,979.500000,1013.549988,972.410339,2405301
2017-03-15,1005.099976,1090.000000,1005.099976,1068.199951,1024.841919,1470886
2017-03-16,1071.650024,1075.849976,1038.800049,1050.050049,1007.428772,754555
2017-03-17,1057.000000,1060.400024,1045.099976,1056.599976,1013.712891,1111993
2017-03-20,1065.000000,1065.900024,1044.500000,1053.699951,1010.930603,346629
2017-03-21,1056.699951,1062.500000,1021.000000,1049.650024,1007.045166,573271
2017-03-22,1039.000000,1041.199951,1025.250000,1034.349976,992.366028,702732
2017-03-23,1035.000000,1050.050049,1021.549988,1032.900024,990.974976,559052
2017-03-24,1038.000000,1047.000000,1028.250000,1031.900024,990.015442,711671
2017-03-27,1029.000000,1049.150024,1016.150024,1020.799988,979.366028,562545
2017-03-28,1030.000000,1079.550049,1026.000000,1073.599976,1030.022949,1230530
2017-03-29,1078.000000,1078.000000,1046.400024,1062.199951,1019.085571,642706
2017-03-30,1067.000000,1085.000000,1041.650024,1052.699951,1009.971375,1425840
2017-03-31,1062.500000,1084.150024,1052.000000,1078.000000,1034.244385,710114
2017-04-03,1085.000000,1109.000000,1084.050049,1104.099976,1059.284912,546692
2017-04-05,1105.000000,1119.500000,1088.650024,1107.550049,1062.595093,736126
2017-04-06,1090.000000,1105.050049,1082.550049,1094.000000,1049.594971,618339
2017-04-07,1087.000000,1102.150024,1080.050049,1088.150024,1043.982422,319658
2017-04-10,1100.000000,1110.000000,1077.650024,1089.449951,1045.229492,776995
2017-04-11,1090.000000,1100.000000,1074.099976,1084.099976,1040.096802,565861
2017-04-12,1084.000000,1088.349976,1059.699951,1066.800049,1023.499023,770302
2017-04-13,1065.000000,1069.900024,1046.099976,1050.849976,1008.196350,286976
2017-04-17,1058.000000,1082.599976,1040.550049,1078.449951,1034.676025,288246
2017-04-18,1080.000000,1088.349976,1056.349976,1060.449951,1017.406616,254183
2017-04-19,1052.000000,1098.400024,1045.000000,1094.949951,1050.506104,680549
2017-04-20,1095.000000,1096.949951,1071.050049,1074.949951,1031.317993,371203
2017-04-21,1086.000000,1086.000000,1050.199951,1053.500000,1010.738647,599269
2017-04-24,1058.000000,1059.250000,1042.699951,1053.550049,1010.786743,412797
2017-04-25,1062.699951,1094.000000,1058.449951,1090.599976,1046.332886,681588
2017-04-26,1095.000000,1095.000000,1047.000000,1053.699951,1010.930603,848134
2017-04-27,1052.900024,1071.949951,1027.000000,1040.500000,998.266357,2036343
