Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,179.000000,179.350006,177.300003,177.949997,163.113953,199774
2017-01-03,178.149994,178.850006,176.250000,178.149994,163.297272,391794
2017-01-04,178.399994,180.300003,177.100006,179.000000,164.076416,262106
2017-01-05,179.399994,182.199997,179.000000,181.699997,166.551300,334776
2017-01-06,182.100006,183.000000,178.350006,179.100006,164.168091,408136
2017-01-09,179.199997,181.250000,178.350006,179.000000,164.076416,139377
2017-01-10,179.199997,181.350006,178.300003,179.850006,164.855560,295374
2017-01-11,180.000000,181.399994,178.300003,179.050003,164.122253,370361
2017-01-12,179.449997,189.850006,178.600006,185.949997,170.446976,1965271
2017-01-13,187.399994,188.300003,184.300003,186.000000,170.492813,756601
2017-01-16,185.100006,187.899994,184.100006,186.050003,170.538651,250517
2017-01-17,186.300003,187.199997,183.199997,186.050003,170.538651,342879
2017-01-18,186.250000,188.899994,185.350006,186.000000,170.492813,293068
2017-01-19,186.000000,201.000000,185.199997,197.750000,181.263184,15133951
2017-01-20,199.399994,200.800003,191.649994,192.699997,176.634216,2428314
2017-01-23,193.500000,197.699997,193.250000,194.500000,178.284164,552538
2017-01-24,195.149994,198.350006,194.050003,196.350006,179.979919,825448
2017-01-25,196.649994,197.000000,194.000000,194.800003,178.559143,957529
2017-01-27,196.149994,204.949997,194.199997,203.449997,186.487961,1946165
2017-01-30,203.000000,203.949997,195.350006,196.100006,179.750748,1068821
2017-01-31,197.000000,200.949997,192.250000,194.050003,177.871658,755423
2017-02-01,194.949997,199.699997,193.000000,198.350006,181.813187,631920
2017-02-02,197.350006,201.449997,195.500000,196.350006,179.979919,569642
2017-02-03,196.949997,199.949997,195.850006,198.100006,181.584015,498284
2017-02-06,198.750000,200.500000,197.250000,198.000000,181.492355,248408
2017-02-07,198.000000,211.449997,196.649994,209.500000,192.033585,2622143
2017-02-08,210.000000,211.850006,207.500000,209.899994,192.400208,949220
2017-02-09,210.250000,214.199997,207.750000,208.300003,190.933609,583867
2017-02-10,194.500000,211.000000,194.500000,208.500000,191.116943,4407707
2017-02-13,208.000000,208.850006,201.699997,206.550003,189.329514,592801
2017-02-14,206.949997,211.199997,205.000000,206.949997,189.696167,615576
2017-02-15,206.649994,207.399994,199.800003,201.100006,184.333893,497574
2017-02-16,202.199997,205.149994,201.250000,204.199997,187.175446,273723
2017-02-17,205.000000,207.899994,202.949997,206.550003,189.329514,315023
2017-02-20,206.250000,208.500000,204.300003,206.250000,189.054535,259646
2017-02-21,206.199997,207.199997,204.100006,205.850006,188.687897,217871
2017-02-22,206.199997,213.149994,203.649994,205.300003,188.183731,1270518
2017-02-23,203.949997,206.699997,199.449997,200.350006,183.646423,1065586
2017-02-27,201.199997,204.850006,201.000000,202.600006,185.708847,617853
2017-02-28,202.800003,208.100006,202.750000,205.300003,188.183731,607380
2017-03-01,205.199997,211.899994,204.949997,207.500000,190.200287,764289
2017-03-02,208.500000,208.949997,200.050003,201.000000,184.242233,404428
2017-03-03,199.500000,202.649994,199.500000,200.850006,184.104752,515606
2017-03-06,201.000000,203.899994,198.800003,200.250000,183.554749,1055691
2017-03-07,201.550003,204.949997,200.149994,200.649994,183.921402,563346
2017-03-08,201.000000,202.199997,197.850006,199.500000,182.867279,591011
2017-03-09,198.699997,201.300003,194.449997,194.949997,178.696640,623140
2017-03-10,196.100006,197.649994,193.250000,194.399994,178.192474,433195
2017-03-14,201.000000,201.500000,195.250000,195.949997,179.613251,632244
2017-03-15,196.350006,198.300003,190.500000,191.199997,175.259277,1020717
2017-03-16,192.800003,204.000000,191.800003,200.949997,184.196396,2347922
2017-03-17,204.000000,211.449997,202.199997,210.149994,192.629379,2706819
2017-03-20,207.750000,217.000000,207.750000,215.050003,197.120850,1310713
2017-03-21,216.000000,218.750000,214.250000,215.600006,197.625000,1337188
2017-03-22,212.199997,217.550003,211.100006,215.100006,197.166687,1249508
2017-03-23,215.100006,222.250000,215.100006,218.649994,200.420700,1471500
2017-03-24,220.350006,223.850006,216.149994,216.750000,198.679138,655199
2017-03-27,216.000000,218.050003,213.750000,215.050003,197.120850,506108
2017-03-28,215.350006,219.000000,215.100006,217.000000,198.908279,485271
2017-03-29,218.399994,228.399994,218.050003,224.350006,205.645508,1889996
2017-03-30,225.899994,241.949997,223.800003,236.500000,216.782516,1384323
2017-03-31,233.100006,239.649994,226.750000,230.350006,211.145279,2156050
2017-04-03,230.199997,238.850006,223.500000,236.399994,216.690857,1492653
2017-04-05,235.399994,237.750000,232.850006,234.000000,214.490952,473577
2017-04-06,233.949997,237.649994,230.500000,231.600006,212.291046,442310
2017-04-07,231.500000,233.300003,226.199997,229.750000,210.595276,845494
2017-04-10,229.500000,230.899994,220.300003,221.550003,203.078934,919360
2017-04-11,222.550003,225.550003,216.899994,222.149994,203.628906,1374863
2017-04-12,221.500000,222.449997,213.399994,214.800003,196.891693,932795
2017-04-13,214.899994,217.500000,209.500000,215.449997,197.487503,1198520
2017-04-17,216.000000,220.250000,212.000000,212.800003,195.058456,644185
2017-04-18,213.600006,222.899994,212.899994,214.300003,196.433380,753154
2017-04-19,214.949997,221.949997,213.199997,221.399994,202.941422,950721
2017-04-20,222.000000,225.699997,219.500000,224.449997,205.737167,1244441
2017-04-21,224.899994,229.000000,218.100006,219.649994,201.337326,1011168
2017-04-24,220.899994,235.000000,219.600006,232.250000,212.886856,1868792
2017-04-25,232.500000,232.899994,226.399994,231.300003,212.016068,962120
2017-04-26,231.899994,235.399994,223.649994,227.100006,208.166229,1177896
2017-04-27,227.000000,233.199997,222.149994,227.350006,208.395386,1390952
2017-04-28,227.000000,229.850006,225.500000,227.250000,208.303711,427422
2017-05-02,227.449997,228.949997,221.100006,223.850006,205.187180,609629
2017-05-03,224.100006,227.000000,220.449997,222.449997,203.903900,471533
2017-05-04,222.500000,224.649994,218.350006,220.000000,201.658157,861286
2017-05-05,220.000000,223.199997,217.550003,218.899994,200.649872,940671
2017-05-08,219.750000,227.500000,217.550003,224.500000,205.783005,1460821
2017-05-09,225.750000,228.850006,224.000000,226.000000,207.157944,1154638
2017-05-10,228.000000,229.800003,225.399994,226.500000,207.616241,657613
2017-05-11,226.949997,228.800003,222.250000,223.500000,204.866379,682458
2017-05-12,223.000000,226.350006,211.149994,213.699997,195.883423,1374613
2017-05-15,214.000000,215.649994,211.600006,214.100006,196.250046,684175
2017-05-16,214.399994,217.600006,210.550003,213.699997,195.883423,1137060
2017-05-17,213.949997,217.100006,213.500000,214.350006,196.479218,458404
2017-05-18,213.000000,214.699997,201.000000,202.600006,185.708847,889149
2017-05-19,205.000000,208.899994,201.449997,204.800003,187.725403,716598
2017-05-22,205.800003,207.149994,196.000000,198.149994,181.629837,963566
