Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,49000.000000,49304.898438,48799.800781,49084.398438,48834.609375,8367
2017-01-03,49388.898438,50500.000000,49101.199219,50391.398438,50134.968750,9526
2017-01-04,50679.800781,50769.800781,50181.601563,50386.101563,50129.695313,7045
2017-01-05,50698.601563,51990.000000,50550.101563,51710.601563,51447.445313,8444
2017-01-06,52000.000000,52686.500000,51125.000000,51579.199219,51316.722656,14670
2017-01-09,51579.199219,51797.000000,50825.699219,51349.101563,51087.785156,5351
2017-01-10,51649.898438,53666.000000,49808.699219,53025.101563,52755.265625,14460
2017-01-11,53699.000000,55554.398438,53400.101563,55400.000000,55118.074219,35021
2017-01-12,55530.101563,55945.000000,54625.101563,55011.601563,54731.656250,18119
2017-01-13,55098.898438,55298.898438,52890.000000,53359.601563,53088.050781,22090
2017-01-16,53299.000000,53857.601563,52559.898438,53092.101563,52821.921875,13559
2017-01-17,53050.000000,54380.601563,53050.000000,53678.800781,53405.628906,15203
2017-01-18,53800.000000,54100.000000,52802.000000,53006.898438,52737.144531,9948
2017-01-19,53000.000000,53046.101563,51814.500000,51992.199219,51727.609375,13607
2017-01-20,51890.000000,52549.898438,51400.000000,51668.898438,51405.957031,9801
2017-01-23,51668.000000,52840.000000,51668.000000,52351.699219,52085.285156,23689
2017-01-24,52679.398438,52879.898438,52210.101563,52466.398438,52199.406250,7489
2017-01-25,52699.000000,53180.000000,52000.000000,53066.699219,52796.644531,8561
2017-01-27,53080.000000,53633.000000,53080.000000,53339.199219,53067.757813,6477
2017-01-30,53440.000000,53440.000000,51801.101563,51929.898438,51665.632813,12036
2017-01-31,51998.000000,52140.000000,51000.000000,51659.500000,51396.617188,12635
2017-02-01,51401.000000,52840.000000,51401.000000,52585.101563,52317.503906,11729
2017-02-02,52600.000000,52740.000000,51351.000000,51590.898438,51328.359375,10660
2017-02-03,51681.800781,52654.101563,50050.101563,51059.398438,50799.566406,39215
2017-02-06,51684.800781,51684.800781,50097.300781,50240.101563,49984.433594,17664
2017-02-07,50690.000000,51040.000000,49759.601563,50434.800781,50178.140625,21900
2017-02-08,50666.000000,51799.898438,50350.000000,51604.398438,51341.785156,13393
2017-02-09,51750.000000,51985.000000,51250.000000,51685.699219,51422.679688,7391
2017-02-10,51850.000000,51879.300781,51310.000000,51472.398438,51210.464844,4384
2017-02-13,51551.101563,51680.300781,50660.101563,50827.199219,50568.550781,5749
2017-02-14,51020.000000,51630.601563,50010.000000,50195.199219,49942.703125,5866
2017-02-15,50200.101563,50582.000000,49935.601563,49997.101563,49745.597656,8012
2017-02-16,50180.000000,50858.000000,49600.000000,50538.101563,50283.886719,16212
2017-02-17,50780.000000,50900.000000,50001.101563,50102.199219,49850.171875,10380
2017-02-20,50100.000000,50595.000000,49950.000000,50414.800781,50161.207031,4347
2017-02-21,50451.000000,50679.398438,50100.000000,50195.398438,49942.898438,4084
2017-02-22,50399.898438,50600.000000,49577.000000,49767.898438,49517.558594,13002
2017-02-23,49900.000000,51700.000000,49714.800781,51499.101563,51240.054688,22055
2017-02-27,51650.000000,52029.898438,50700.000000,51437.101563,51178.359375,13966
2017-02-28,51437.199219,52529.898438,51370.101563,51835.101563,51574.363281,14966
2017-03-01,51999.000000,53150.000000,51999.000000,52819.398438,52553.703125,13943
2017-03-02,53185.000000,53362.500000,51845.000000,51951.601563,51690.281250,8861
2017-03-03,52300.000000,52630.000000,51713.398438,52072.898438,51810.960938,12544
2017-03-06,52398.000000,52500.000000,51951.101563,52375.601563,52112.144531,7600
2017-03-07,52282.000000,52565.898438,51953.199219,52167.898438,51905.484375,6731
2017-03-08,52260.000000,52372.101563,51086.699219,51527.800781,51268.601563,9537
2017-03-09,51500.000000,52366.601563,51205.000000,52031.398438,51769.675781,12197
2017-03-10,52366.000000,52450.000000,51950.000000,52220.300781,51957.621094,9186
2017-03-14,52750.000000,53427.898438,52100.000000,52983.898438,52717.375000,18744
2017-03-15,53381.199219,57984.000000,53291.199219,56836.601563,56550.703125,82609
2017-03-16,57300.000000,57448.898438,56200.000000,56425.601563,56141.769531,15441
2017-03-17,56400.000000,56700.000000,54967.601563,55427.898438,55149.085938,43538
2017-03-20,56305.000000,57090.601563,55801.000000,56019.398438,55737.609375,23491
2017-03-21,56500.000000,58300.000000,55854.300781,58045.101563,57753.121094,28250
2017-03-22,57600.000000,58450.000000,57500.000000,57849.199219,57558.207031,20754
2017-03-23,58000.000000,59684.398438,57601.000000,59507.101563,59207.769531,36778
2017-03-24,59499.898438,59650.000000,59001.000000,59308.800781,59010.472656,19247
2017-03-27,59499.000000,60145.000000,59125.199219,59888.500000,59587.253906,20169
2017-03-28,59855.398438,60300.000000,57947.398438,58315.398438,58022.062500,19851
2017-03-29,58499.898438,59790.800781,57801.000000,59578.398438,59278.703125,24086
2017-03-30,59125.000000,60200.000000,59125.000000,59823.601563,59522.675781,19147
2017-03-31,59550.000000,61220.000000,59550.000000,60954.398438,60647.792969,24685
2017-04-03,60935.000000,61386.699219,60240.000000,60993.601563,60686.789063,14263
2017-04-05,60993.601563,61271.800781,60372.000000,60685.398438,60380.144531,12463
2017-04-06,60552.000000,61399.000000,60211.000000,61104.898438,60797.531250,18995
2017-04-07,60655.000000,61780.000000,60601.101563,61036.101563,60729.078125,14389
2017-04-10,61195.699219,61382.898438,60620.000000,60767.398438,60461.730469,7631
2017-04-11,61179.000000,62200.000000,60901.000000,62063.398438,61751.207031,17051
2017-04-12,62010.000000,62199.898438,60062.398438,60527.101563,60222.636719,20550
2017-04-13,60530.898438,61200.000000,60300.000000,60566.601563,60261.937500,10623
2017-04-17,60720.000000,62158.000000,60311.398438,61948.601563,61636.992188,21463
2017-04-18,61950.000000,63099.000000,61600.101563,62596.101563,62281.226563,23539
2017-04-19,62350.000000,63300.000000,62150.101563,63089.199219,62771.851563,12089
2017-04-20,63005.000000,63610.000000,62751.101563,63500.800781,63181.382813,12427
2017-04-21,63325.000000,63698.000000,63016.898438,63283.699219,62965.378906,9607
2017-04-24,63120.000000,64200.000000,63110.000000,63995.398438,63673.492188,12079
2017-04-25,64200.000000,66755.500000,63880.000000,66566.203125,66231.382813,28579
2017-04-26,66500.000000,69848.796875,66487.000000,68850.500000,68504.171875,43642
2017-04-27,69200.000000,70500.000000,68000.000000,68495.601563,68151.054688,50104
2017-04-28,68858.500000,69000.000000,67706.000000,67909.203125,67567.625000,17996
2017-05-02,68050.000000,68899.796875,67600.000000,68372.500000,68028.578125,17924
2017-05-03,68563.101563,69750.000000,68455.203125,68639.898438,68294.632813,17264
2017-05-04,68944.000000,69173.500000,66501.000000,67022.500000,66685.359375,28669
2017-05-05,66861.000000,68399.000000,66500.000000,68136.000000,67793.250000,20751
2017-05-08,68499.898438,68720.000000,67450.000000,67634.101563,67293.882813,12208
2017-05-09,68200.000000,68200.000000,66587.398438,66683.000000,66347.578125,16105
2017-05-10,66800.101563,66999.000000,65822.203125,65936.703125,65605.023438,17167
2017-05-11,66000.000000,67371.796875,65902.101563,66056.000000,65723.726563,15027
2017-05-12,66105.000000,66488.000000,65300.000000,65455.101563,65125.855469,9995
2017-05-15,65620.000000,66081.000000,65200.800781,65823.398438,65492.289063,10189
2017-05-16,65990.000000,66360.000000,65500.000000,66093.398438,65760.945313,14100
2017-05-17,66200.000000,68270.000000,65700.000000,68054.703125,67712.382813,28781
2017-05-18,67750.000000,69188.000000,66640.101563,66960.398438,66623.570313,21701
2017-05-19,67290.000000,67699.898438,64164.898438,65876.601563,65545.234375,15118
2017-05-22,66100.500000,66799.000000,64100.000000,64254.101563,63930.898438,13002
2017-05-23,64480.000000,64700.000000,63000.000000,63976.101563,63654.289063,19116
2017-05-24,63900.000000,63958.398438,62400.000000,62519.699219,62205.210938,11106
2017-05-25,62660.000000,64200.000000,62000.000000,63820.000000,63498.976563,20131
2017-05-26,64199.898438,65690.000000,63922.199219,65401.800781,65072.816406,15831
2017-05-29,65699.000000,66370.000000,64750.000000,64937.898438,64611.246094,10018
2017-05-30,64938.000000,65600.000000,64561.199219,65398.101563,65069.140625,7921
2017-05-31,65351.398438,65882.000000,65009.000000,65559.101563,65229.320313,6625
2017-06-01,65619.500000,68599.000000,65619.500000,68217.296875,67874.148438,27596
2017-06-02,68450.000000,68993.898438,67500.000000,67716.000000,67375.390625,15738
2017-06-05,67910.000000,68598.000000,67900.000000,68334.203125,67990.460938,7478
2017-06-06,68500.000000,69240.000000,67300.000000,68820.500000,68474.328125,15435
2017-06-07,68830.296875,69347.203125,68499.000000,68986.000000,68638.992188,10469
2017-06-08,69000.101563,71995.000000,68700.000000,71129.601563,70771.812500,39075
2017-06-09,71404.000000,73200.000000,71251.101563,72901.203125,72534.500000,33946
2017-06-12,72901.203125,74016.203125,72245.000000,73331.601563,72962.742188,24677
2017-06-13,73401.000000,74147.500000,71555.000000,72369.296875,72005.265625,23590
2017-06-14,71980.000000,71980.000000,70880.000000,71102.101563,70744.445313,19049
2017-06-15,71235.000000,73184.898438,71198.898438,72847.500000,72481.070313,19573
2017-06-16,73148.000000,73401.000000,71707.500000,71978.101563,71616.039063,15153
2017-06-19,72499.898438,72870.000000,71560.203125,71760.203125,71399.226563,9973
2017-06-20,71980.000000,72800.000000,71315.296875,71656.203125,71295.757813,11042
2017-06-21,71850.000000,72297.898438,71324.500000,71709.101563,71348.398438,7666
2017-06-22,72198.898438,72495.000000,70650.101563,70975.898438,70618.890625,10644
2017-06-23,71500.000000,71500.000000,69596.000000,69935.796875,69584.000000,12316
2017-06-27,69955.000000,70400.000000,68270.000000,68585.500000,68240.507813,10377
2017-06-28,68585.500000,69399.000000,67801.500000,68915.796875,68569.132813,10368
2017-06-29,69270.000000,69846.796875,68500.000000,68639.000000,68293.742188,15509
2017-06-30,68400.000000,68750.000000,67850.101563,68325.898438,67982.187500,10072
2017-07-03,68458.500000,71250.000000,68201.000000,70859.500000,70503.054688,16735
2017-07-04,71260.000000,71500.000000,70029.703125,70350.296875,69996.421875,11002
2017-07-05,70401.000000,71120.398438,70259.898438,70607.398438,70252.226563,8300
2017-07-06,70984.000000,71450.000000,70005.000000,70270.601563,69917.125000,12201
2017-07-07,70801.703125,70801.703125,69575.000000,69809.296875,69458.140625,10221
2017-07-10,70379.500000,70379.500000,69403.000000,69600.203125,69250.109375,1519
2017-07-11,69600.000000,70079.898438,68863.500000,69120.000000,68772.312500,9263
2017-07-12,69201.000000,70295.000000,68800.000000,69976.601563,69624.601563,10291
2017-07-13,70300.000000,70400.000000,69526.000000,69662.000000,69311.593750,6505
2017-07-14,69999.000000,70000.000000,69150.000000,69516.203125,69166.523438,5398
2017-07-17,69662.000000,70274.000000,69100.000000,70072.703125,69720.226563,8434
2017-07-18,69400.000000,70367.703125,69400.000000,69930.500000,69578.726563,7118
2017-07-19,69930.500000,70770.000000,69710.000000,70221.500000,69868.281250,16349
2017-07-20,70550.000000,70550.000000,69027.000000,69159.000000,68811.109375,7182
2017-07-21,69375.000000,69721.000000,68700.000000,68878.500000,68532.015625,11184
2017-07-24,69000.000000,69340.000000,68750.000000,68908.898438,68562.273438,6308
2017-07-25,69377.000000,70663.601563,69050.000000,70334.296875,69980.500000,16387
2017-07-26,70388.000000,70555.500000,69808.203125,69989.898438,69637.843750,8637
2017-07-27,70200.000000,70300.000000,68510.000000,68706.500000,68413.664063,8582
2017-07-28,68660.000000,69700.000000,68501.000000,69119.703125,68825.132813,8239
2017-07-31,69120.703125,69974.796875,69000.000000,69198.796875,68903.859375,8841
2017-08-01,69567.000000,69688.203125,69001.000000,69393.101563,69097.343750,7528
2017-08-02,69276.101563,70999.796875,69276.101563,70810.398438,70508.609375,17215
2017-08-03,70600.000000,70910.000000,68902.203125,69150.398438,68855.679688,14610
2017-08-04,68483.101563,68500.000000,65293.300781,66361.101563,66078.281250,47845
2017-08-07,67100.000000,68182.296875,66505.796875,67821.203125,67532.148438,23514
2017-08-08,67900.000000,68500.000000,66601.000000,66722.203125,66437.835938,11981
2017-08-09,67000.000000,67000.000000,65501.000000,65947.000000,65665.929688,10520
2017-08-10,65799.000000,66365.703125,63400.000000,64100.699219,63827.511719,14500
2017-08-11,63250.000000,65098.898438,62382.101563,63922.000000,63649.570313,16985
2017-08-14,64400.000000,64899.601563,63601.101563,63770.601563,63498.816406,11840
2017-08-16,64525.000000,65987.000000,63300.000000,65783.000000,65502.625000,15564
2017-08-17,66054.000000,66395.000000,64280.000000,64484.500000,64209.671875,11287
2017-08-18,64470.000000,64470.000000,63501.000000,63684.101563,63412.683594,12643
2017-08-21,63798.199219,64770.000000,63002.000000,63419.800781,63149.511719,8783
2017-08-22,63050.101563,63999.898438,62432.101563,62555.699219,62289.089844,14404
2017-08-23,62999.000000,63494.898438,62570.000000,62805.898438,62538.222656,12476
2017-08-24,63248.000000,63349.500000,62611.000000,63049.699219,62780.988281,7876
2017-08-28,63350.000000,63400.000000,62657.101563,62811.101563,62543.402344,7912
2017-08-29,62949.898438,63200.000000,62400.000000,62907.898438,62639.781250,12683
2017-08-30,63200.000000,63299.898438,62655.601563,62944.800781,62676.527344,5035
2017-08-31,63179.898438,64235.199219,62850.000000,64089.601563,63816.457031,11820
2017-09-01,64090.000000,65499.000000,64090.000000,65293.898438,65015.621094,9059
2017-09-04,65290.000000,65368.398438,63950.000000,64240.101563,63966.316406,8632
2017-09-05,64474.300781,64999.000000,64200.000000,64573.398438,64298.191406,6756
2017-09-06,64260.000000,65330.000000,63709.199219,64990.000000,64713.019531,13562
2017-09-07,65269.898438,65350.000000,64102.000000,64429.800781,64155.203125,5016
2017-09-08,64505.000000,64799.898438,63671.000000,63816.898438,63544.917969,7529
2017-09-11,64010.000000,64799.000000,64010.000000,64449.601563,64174.921875,8300
2017-09-12,64899.898438,65545.601563,64650.101563,65270.800781,64992.625000,10388
2017-09-13,65500.000000,65650.000000,64100.000000,64334.300781,64060.109375,8725
2017-09-14,64430.000000,64599.800781,63690.000000,63840.398438,63568.320313,6532
2017-09-15,63999.898438,64750.000000,63535.800781,64544.300781,64269.218750,12616
2017-09-18,64698.000000,65300.000000,64648.101563,64916.101563,64639.437500,20041
2017-09-19,64648.000000,65248.000000,64003.101563,64087.101563,63813.964844,9349
2017-09-20,65101.000000,65650.000000,63933.101563,64092.101563,63818.945313,15543
2017-09-21,64438.000000,64447.800781,63152.601563,63294.699219,63024.937500,8728
2017-09-22,64000.000000,64000.000000,62650.000000,62938.101563,62669.859375,17031
2017-09-25,63100.000000,63376.601563,61251.000000,62721.898438,62454.582031,15442
2017-09-26,62800.000000,63000.000000,62210.101563,62754.101563,62486.644531,11340
2017-09-27,62720.000000,62999.000000,61501.000000,61746.601563,61483.437500,6870
2017-09-28,61790.000000,62200.000000,61000.000000,61866.398438,61602.730469,15835
2017-09-29,62051.000000,63940.000000,62051.000000,63005.300781,62736.777344,25187
2017-10-03,63480.000000,64000.000000,63160.601563,63404.398438,63134.167969,14576
2017-10-04,63749.000000,63786.500000,62750.000000,63029.800781,62761.164063,9071
2017-10-05,63298.000000,63666.000000,62883.800781,63141.500000,62872.398438,13683
2017-10-06,63349.898438,64620.000000,63207.898438,64422.699219,64148.132813,10353
2017-10-09,64550.000000,65010.101563,64195.398438,64835.500000,64559.175781,6744
2017-10-10,65011.000000,65300.000000,64510.101563,64705.199219,64429.421875,4704
2017-10-11,64949.898438,64970.000000,63269.601563,63437.398438,63167.035156,8383
2017-10-12,64200.000000,64200.000000,63460.000000,63885.601563,63613.320313,5284
2017-10-13,63800.101563,64000.000000,63500.000000,63670.199219,63398.839844,5189
2017-10-16,63602.000000,64049.000000,63101.000000,63636.398438,63365.179688,7701
2017-10-17,63700.000000,64190.000000,63328.101563,63777.101563,63505.289063,4423
2017-10-18,63516.398438,64000.000000,63516.398438,63670.398438,63399.035156,3556
2017-10-19,63670.398438,63898.699219,63207.000000,63522.500000,63251.777344,922
2017-10-23,63250.000000,63600.000000,62409.800781,63490.601563,63220.003906,12588
2017-10-24,63450.000000,63574.000000,62981.101563,63064.398438,62795.621094,7750
2017-10-25,63315.000000,63498.898438,62910.500000,63089.101563,62820.214844,4021
2017-10-26,63200.000000,63500.000000,62811.898438,63156.101563,62886.937500,5887
2017-10-27,63300.000000,64999.000000,63210.699219,64771.101563,64495.050781,10783
2017-10-30,65000.000000,67343.898438,65000.000000,66779.101563,66494.500000,15489
2017-10-31,66775.000000,67222.000000,65715.000000,66422.500000,66139.414063,7407
2017-11-01,66789.898438,66999.000000,65852.000000,66002.500000,65721.210938,6273
2017-11-02,66011.203125,66719.898438,65590.000000,65726.898438,65446.773438,4284
2017-11-03,65726.898438,66739.703125,65726.898438,66483.398438,66200.046875,5375
2017-11-06,66500.000000,67800.000000,65911.000000,67399.398438,67112.140625,9355
2017-11-07,67650.000000,67810.000000,65521.500000,65712.601563,65432.539063,8918
2017-11-08,65900.000000,66341.601563,65000.000000,65162.398438,64884.679688,5123
2017-11-09,65398.800781,65800.000000,64836.000000,64994.101563,64717.097656,4127
2017-11-10,64995.000000,67749.000000,63614.101563,67359.000000,67071.921875,39944
2017-11-13,66812.203125,69000.000000,66800.000000,68320.898438,68029.710938,20028
2017-11-14,68624.898438,68624.898438,67428.000000,67643.500000,67355.218750,5488
2017-11-15,68300.000000,69655.203125,67687.500000,68392.296875,68100.820313,18813
2017-11-16,68500.000000,69956.000000,68500.000000,69730.796875,69433.609375,12710
2017-11-17,70000.000000,70500.000000,69195.601563,69437.398438,69141.453125,10991
2017-11-20,69437.398438,69869.898438,68476.000000,68719.000000,68426.117188,4128
2017-11-21,68908.000000,70160.000000,68750.000000,69830.500000,69535.914063,12159
2017-11-22,70000.000000,70189.000000,69268.398438,69692.898438,69398.898438,4610
2017-11-23,69799.101563,70200.000000,69001.000000,69189.601563,68897.718750,9563
2017-11-24,69499.000000,69859.000000,69261.000000,69405.500000,69112.710938,5505
2017-11-27,69474.500000,70450.000000,69405.000000,70215.101563,69918.890625,10178
2017-11-28,70130.000000,70325.000000,69480.000000,69597.398438,69303.796875,2739
2017-11-29,69540.000000,69949.000000,69200.000000,69275.101563,68982.867188,8735
2017-11-30,69299.000000,69360.000000,68200.101563,68583.500000,68294.179688,7987
2017-12-01,68601.000000,69100.000000,65724.203125,66169.101563,65889.976563,11678
2017-12-04,66400.000000,66841.898438,65805.000000,66333.101563,66053.265625,5838
2017-12-05,66336.601563,67000.000000,65705.000000,66842.796875,66560.820313,9024
2017-12-06,66122.000000,67222.101563,66122.000000,66871.000000,66588.914063,5830
2017-12-07,66990.000000,67284.796875,66647.703125,67063.203125,66780.296875,5214
2017-12-08,67251.000000,68337.898438,66845.000000,68226.101563,67938.296875,7178
2017-12-11,68500.000000,69000.000000,67678.000000,67863.500000,67577.234375,4898
2017-12-12,68240.000000,68240.000000,66280.000000,66407.398438,66127.250000,6244
2017-12-13,66774.000000,67095.000000,65890.000000,66072.601563,65793.867188,6460
2017-12-14,66480.000000,66670.000000,65323.898438,65952.796875,65674.562500,5784
2017-12-15,66500.000000,68125.000000,66335.601563,67703.601563,67417.992188,9214
2017-12-18,67400.000000,69350.000000,65810.000000,69184.601563,68892.750000,14066
2017-12-19,68940.000000,69649.000000,68650.203125,69389.703125,69096.984375,7912
2017-12-20,69389.703125,69900.000000,68751.000000,68913.796875,68623.078125,5124
2017-12-21,69000.000000,71050.000000,68551.000000,70860.500000,70561.570313,12046
2017-12-22,70927.000000,73089.000000,70898.796875,72817.796875,72510.617188,29133
2017-12-26,72600.000000,74500.000000,72160.000000,74062.000000,73749.585938,17525
2017-12-27,74280.000000,74394.000000,72693.101563,73080.000000,72771.718750,14788
2017-12-28,73490.000000,73899.000000,72492.203125,73498.000000,73187.945313,10193
2017-12-29,73499.000000,73950.000000,72101.101563,72357.000000,72051.757813,10899
2018-01-01,72572.000000,73200.000000,71900.000000,72402.898438,72097.460938,7348
2018-01-02,72305.000000,72899.703125,71059.101563,71246.101563,70945.546875,7345
2018-01-03,71680.000000,71899.898438,71000.000000,71173.398438,70873.148438,9083
2018-01-04,71499.000000,71644.898438,70851.203125,71219.898438,70919.445313,4477
2018-01-05,71390.000000,73000.000000,71300.000000,72905.898438,72598.351563,9189
2018-01-08,72900.000000,73570.000000,72287.000000,72610.500000,72304.187500,6757
2018-01-09,72965.000000,73270.000000,72020.000000,73025.000000,72716.953125,5587
2018-01-10,73040.000000,73112.398438,72100.000000,72481.500000,72175.750000,9006
2018-01-11,72700.000000,72700.000000,71950.000000,72312.000000,72006.953125,4998
2018-01-12,72310.000000,73100.000000,71814.101563,71971.000000,71667.390625,11548
2018-01-15,71971.000000,72500.000000,71350.000000,71534.000000,71232.242188,6503
2018-01-16,71401.000000,71900.500000,69889.601563,70284.500000,69988.015625,7410
2018-01-17,70480.000000,70751.601563,69731.601563,70420.796875,70123.726563,4005
2018-01-18,70800.000000,70849.000000,68601.500000,68804.500000,68514.250000,7680
2018-01-19,69100.000000,69399.898438,68500.000000,69156.000000,68864.265625,7715
2018-01-22,69156.000000,69878.296875,68875.000000,69677.296875,69383.367188,3327
