Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,13787.299805,14059.000000,13375.000000,13938.500000,13493.148438,7481
2017-01-03,14075.000000,14075.000000,13661.000000,13790.799805,13350.166992,5574
2017-01-04,13909.000000,13909.000000,13752.500000,13802.799805,13361.782227,3653
2017-01-05,13890.000000,14077.200195,13780.200195,13838.500000,13396.340820,8883
2017-01-06,13920.799805,14224.500000,13652.099609,13704.000000,13266.138672,9451
2017-01-09,13899.799805,14049.500000,13650.000000,13762.099609,13322.382813,6522
2017-01-10,13851.700195,14094.000000,13710.000000,13982.799805,13536.033203,10306
2017-01-11,13906.000000,14387.799805,13822.799805,14247.500000,13792.274414,9189
2017-01-12,14385.700195,14507.200195,13900.000000,14026.500000,13578.334961,12185
2017-01-13,14050.000000,14180.000000,13825.200195,14062.700195,13613.378906,8424
2017-01-16,14050.000000,14120.000000,13821.000000,14094.799805,13644.454102,7767
2017-01-17,14056.099609,14380.000000,13954.200195,14074.099609,13624.415039,7033
2017-01-18,14071.200195,14800.000000,14014.700195,14486.099609,14023.250977,12187
2017-01-19,14450.000000,14510.000000,14310.200195,14481.200195,14018.507813,4520
2017-01-20,14350.000000,14468.900391,14100.000000,14208.799805,13754.812500,7634
2017-01-23,14275.000000,14487.400391,14010.000000,14046.099609,13597.308594,8071
2017-01-24,14168.000000,14393.400391,13915.000000,14326.700195,13868.944336,11401
2017-01-25,14326.700195,14501.200195,14206.299805,14463.000000,14000.886719,9852
2017-01-27,14421.000000,14549.000000,14369.000000,14497.099609,14033.900391,7632
2017-01-30,14501.000000,14515.200195,14301.000000,14499.799805,14036.511719,12299
2017-01-31,14450.000000,14548.900391,14226.599609,14494.400391,14031.287109,6462
2017-02-01,14483.799805,14520.000000,14112.000000,14399.400391,13939.320313,17760
2017-02-02,14399.400391,14425.000000,14212.099609,14282.000000,13825.671875,8683
2017-02-03,14210.299805,14341.099609,14151.000000,14237.799805,13782.884766,6015
2017-02-06,14238.799805,14507.599609,14180.000000,14467.500000,14005.245117,18312
2017-02-07,14501.000000,14590.000000,14230.000000,14339.000000,13880.851563,8517
2017-02-08,14355.000000,14509.500000,14307.000000,14483.000000,14020.248047,6182
